,name,description,short_name,id
570,Precio medio de la demanda en los SNP por sistema,<p>Precio medio ponderado de adquisición de energía de los sistemas no peninsulares.</p><p>Este indicador por defecto proporciona el detalle del precio de la demanda en cada uno de los sistemas no peninsulares.</p><p><b>Publicación:</b> diariamente a las 7:45 con los datos del día D-2.</p>,Precio medio demanda sistema,573
571,Precio medio de la generación en los SNP por sistema,<p>Precio medio ponderado de la generación de energía de los sistemas no peninsulares.</p><p>Este indicador por defecto proporciona el detalle del precio de la generación en cada uno de los sistemas no peninsulares.</p><p><b>Publicación:</b> diariamente a las 7:45 con los datos del día D-2.</p>,Precio medio generación sistema,574
745,Precio medio pagos por capacidad para demanda,"<p>Los Pagos por Capacidad consisten, en un pago regulado para financiar el servicio de capacidad de potencia a medio y largo plazo ofrecido por las instalaciones de generación al sistema eléctrico. Este concepto regulado se encuentra incluido en el Término de Energía.</p><p>En concreto este indicador se refiere a los pagos por capacidad para la demanda.</p><p><b>Publicación:</b> mensualmente el día 1 de cada mes para el mes D.</p>",Precio medio pagos por capacidad para demanda,778
1230,Precio medio de la demanda en los SNP por subsistema,<p>Precio medio ponderado de adquisición de energía de los subsistemas no peninsulares.</p><p>Este indicador por defecto proporciona el detalle del precio de la demanda en cada uno de los subsistemas no peninsulares.</p><p><b>Publicación:</b> diariamente a las 7:45 con los datos del día D-2.</p>,Precio medio demanda subsistema,1336
1231,Precio medio de la generación en los SNP por subsistema,<p>Precio medio ponderado de la generación de energía de los subsistemas no peninsulares.</p><p>Este indicador por defecto proporciona el detalle del precio de la generación en cada uno de los subsistemas no peninsulares.</p><p><b>Publicación:</b> diariamente a las 7:45 con los datos del día D-2.</p>,Precio medio generación subsistema,1337
1283,Precio de derechos de emisión de despacho de los TNP (PCO2D),<p>Precio de derechos de emisi&oacute;n de despacho calculado seg&uacute;n el art. 66 del RD 738/2015</p><p><b>Publicaci&oacute;n:</b>&nbsp;mensualmente&nbsp;con los datos del mes&nbsp;M.</p>,Precio de derechos de emisión de despacho de los TNP (PCO2D),1391
1407,Precio de referencia en Mercado Intradiario Continuo,"<p>Precio de referencia del Mercado Intradiario Continuo europeo en el &aacute;rea espa&ntilde;ola calculado como la media ponderada para cada hora, en &euro;/MWh, de todas las transacciones realizadas en el Mercado Intradiario Continuo en los que interviene una compra o una venta del &aacute;rea de mercado espa&ntilde;ola.</p>

<p>El desglose de este indicador detalla el precio de referencia en cada una de las rondas del mercado intradiario continuo en el polo espa&ntilde;ol.</p>

<p>La fuente de la informaci&oacute;n que proporciona esta dato es el Operador del Mercado Ib&eacute;rico, Polo Espa&ntilde;ol (OMIE).</p>

<p><b>Publicaci&oacute;n:</b> diariamente a las 5:00 con la informaci&oacute;n del d&iacute;a D-1.</p>
",Precio MIC,1727
1408,Precio de la energía excedentaria del autoconsumo para el mecanismo de compensación simplificada (PVPC),"<p>Precio horario de la energ&iacute;a excedentaria vertida a la red por las instalaciones de generaci&oacute;n de los consumidores que dispongan de un contrato de suministro al PVPC (Precio Voluntario para el Peque&ntilde;o Consumidor) con una comercializadora de referencia, y est&eacute;n acogidos al mecanismo de compensaci&oacute;n simplificada definido en el art&iacute;culo 14 del Real Decreto 244/2019, de 5 de abril.</p><p>La energ&iacute;a horaria excedentaria se valora al precio medio horario, Pmh (definido en el art&iacute;culo 10, Real Decreto 216/2014, de 28 de marzo) obtenido a partir de los resultados del mercado diario e intradiario en la hora h, menos el coste de los desv&iacute;os CDSVh (definido en el art&iacute;culo 11, Real Decreto 216/2014, de 28 de marzo). No incluye impuestos.</p><p>La energ&iacute;a horaria excedentaria de los consumidores acogidos al mecanismo de compensaci&oacute;n simplificada est&aacute; exenta de satisfacer los peajes de acceso establecidos en el Real Decreto 1544/2011, de 31 de octubre.</p><p>Los precios horarios son los mismos para todo el territorio espa&ntilde;ol independientemente de la zona horaria.</p><p><b>Publicaci&oacute;n:</b>&nbsp;diariamente a las 20:20 horas con la informaci&oacute;n del d&iacute;a D+1.</p>",Precio de la energía excedentaria,1739
1434,Precio energías de balance RR,"<p>El proceso de activaci&oacute;n de ofertas de energ&iacute;as procedentes de reservas de sustituci&oacute;n (RR, por sus siglas en ingl&eacute;s) tiene por objeto restablecer o mantener el nivel requerido de energ&iacute;as de recuperaci&oacute;n de la frecuencia con activaci&oacute;n manual y autom&aacute;tica (energ&iacute;as de regulaci&oacute;n terciaria y secundaria, respectivamente), al objeto de preparar el sistema para posibles desbalances que puedan registrarse posteriormente.</p>

<p>Este servicio se encuentra regulado en el P.O.-3.3.</p>

<p>En concreto este indicador se refiere al precio marginal resultante de la asignaci&oacute;n de energ&iacute;as de balance de RR en distintas zonas de oferta europeas (Espa&ntilde;a, Rep&uacute;blica Checa, Italia Norte, Portugal y Francia). Este indicador est&aacute; geo-referenciado a nivel de zona de oferta.</p>

<p>La fuente de la informaci&oacute;n que proporciona este dato es REE para los datos de la zona de oferta espa&ntilde;ola y ENTSO-E Transparency Platform para el resto de zonas de oferta.</p>

<p><b>Publicaci&oacute;n:</b> cada hora con la informaci&oacute;n disponible hasta ese momento del d&iacute;a D se tiene un precio provisional. Al d&iacute;a siguiente se actualiza la informaci&oacute;n de todo el d&iacute;a anterior ya con el cierre.</p>
",Precio Energia Balance RR,1782
1487,Precio final de liquidación del proceso de compensación de desequilibrio,"<p>Este indicador hace referencia al precio final de la liquidaci&oacute;n TSO-TSO del proceso de neteo de desequilibrios (IGCC), obtenido&nbsp;como media ponderada de los precios de oportunidad de energ&iacute;a secundaria de todos los sistemas participantes en este proceso.</p>

<p><b>Publicaci&oacute;n:</b>&nbsp;Una vez al mes sobre las 14 horas del decimonoveno d&iacute;a laborable con la informaci&oacute;n del mes anterior.</p>
",Precio IGCC,1841
