Date,Price1,Price2,Year
2022-03-18 00:00:00,203.0,203.0,2022
2022-03-18 01:00:00,199.0,199.0,2022
2022-03-18 02:00:00,198.88,198.88,2022
2022-03-18 03:00:00,198.88,198.88,2022
2022-03-18 04:00:00,198.88,198.88,2022
2022-03-18 05:00:00,200.0,200.0,2022
2022-03-18 06:00:00,203.1,203.1,2022
2022-03-18 07:00:00,243.77,243.77,2022
2022-03-18 08:00:00,249.06,249.06,2022
2022-03-18 09:00:00,245.54,245.54,2022
2022-03-18 10:00:00,239.98,239.98,2022
2022-03-18 11:00:00,225.0,225.0,2022
2022-03-18 12:00:00,224.47,224.47,2022
2022-03-18 13:00:00,212.46,212.46,2022
2022-03-18 14:00:00,211.88,211.88,2022
2022-03-18 15:00:00,225.0,225.0,2022
2022-03-18 16:00:00,239.53,239.53,2022
2022-03-18 17:00:00,245.54,245.54,2022
2022-03-18 18:00:00,275.31,275.31,2022
2022-03-18 19:00:00,286.52,286.52,2022
2022-03-18 20:00:00,290.19,290.19,2022
2022-03-18 21:00:00,282.5,282.5,2022
2022-03-18 22:00:00,255.01,255.01,2022
2022-03-18 23:00:00,221.27,221.27,2022
2022-08-17 00:00:00,170.51,170.51,2022
2022-08-17 01:00:00,165.54,165.54,2022
2022-08-17 02:00:00,158.66,158.66,2022
2022-08-17 03:00:00,156.01,156.01,2022
2022-08-17 04:00:00,154.9,154.9,2022
2022-08-17 05:00:00,161.01,161.01,2022
2022-08-17 06:00:00,167.86,167.86,2022
2022-08-17 07:00:00,172.01,172.01,2022
2022-08-17 08:00:00,161.99,161.99,2022
2022-08-17 09:00:00,150.0,150.0,2022
2022-08-17 10:00:00,120.6,120.6,2022
2022-08-17 11:00:00,106.98,106.98,2022
2022-08-17 12:00:00,111.36,111.36,2022
2022-08-17 13:00:00,125.0,125.0,2022
2022-08-17 14:00:00,123.6,123.6,2022
2022-08-17 15:00:00,106.98,106.98,2022
2022-08-17 16:00:00,104.14,104.14,2022
2022-08-17 17:00:00,102.2,102.2,2022
2022-08-17 18:00:00,99.67,99.67,2022
2022-08-17 19:00:00,109.0,109.0,2022
2022-08-17 20:00:00,149.89,149.89,2022
2022-08-17 21:00:00,168.0,168.0,2022
2022-08-17 22:00:00,160.0,160.0,2022
2022-08-17 23:00:00,137.21,137.21,2022
2022-06-08 00:00:00,190.72,190.72,2022
2022-06-08 01:00:00,174.99,174.99,2022
