Time,Real Values,Forecasting Values
2023-06-01 00:00:00,0,0
2023-06-01 01:00:00,70,0
2023-06-01 02:00:00,0,73
2023-06-01 03:00:00,0,0
2023-06-01 04:00:00,0,0
2023-06-01 05:00:00,0,0
2023-06-01 06:00:00,0,0
2023-06-01 07:00:00,0,0
2023-06-01 08:00:00,28,0
2023-06-01 09:00:00,83,29
2023-06-01 10:00:00,90,88
2023-06-01 11:00:00,160,91
2023-06-01 12:00:00,60,161
2023-06-01 13:00:00,56,62
2023-06-01 14:00:00,29,58
2023-06-01 15:00:00,31,30
2023-06-01 16:00:00,197,32
2023-06-01 17:00:00,66,201
2023-06-01 18:00:00,69,68
2023-06-01 19:00:00,0,71
2023-06-01 20:00:00,74,0
2023-06-01 21:00:00,89,76
2023-06-01 22:00:00,104,91
2023-06-01 23:00:00,66,107
2023-06-02 00:00:00,9,70
2023-06-02 01:00:00,5,10
2023-06-02 02:00:00,12,5
2023-06-02 03:00:00,27,10
2023-06-02 04:00:00,113,29
2023-06-02 05:00:00,98,129
2023-06-02 06:00:00,72,96
2023-06-02 07:00:00,168,73
2023-06-02 08:00:00,0,169
2023-06-02 09:00:00,0,0
2023-06-02 10:00:00,14,0
2023-06-02 11:00:00,0,14
2023-06-02 12:00:00,0,0
2023-06-02 13:00:00,0,0
2023-06-02 14:00:00,0,0
2023-06-02 15:00:00,85,0
2023-06-02 16:00:00,74,87
2023-06-02 17:00:00,0,75
2023-06-02 18:00:00,17,0
2023-06-02 19:00:00,102,17
2023-06-02 20:00:00,0,104
2023-06-02 21:00:00,0,0
2023-06-02 22:00:00,22,0
2023-06-02 23:00:00,1,23
2023-06-03 00:00:00,64,1
2023-06-03 01:00:00,0,121
2023-06-03 02:00:00,0,0
2023-06-03 03:00:00,51,0
2023-06-03 04:00:00,0,66
2023-06-03 05:00:00,61,0
2023-06-03 06:00:00,34,85
2023-06-03 07:00:00,56,45
2023-06-03 08:00:00,0,69
2023-06-03 09:00:00,39,0
2023-06-03 10:00:00,0,53
2023-06-03 11:00:00,0,0
2023-06-03 12:00:00,3,0
2023-06-03 13:00:00,0,4
2023-06-03 14:00:00,17,0
2023-06-03 15:00:00,0,23
2023-06-03 16:00:00,20,0
2023-06-03 17:00:00,131,26
2023-06-03 18:00:00,0,172
2023-06-03 19:00:00,0,0
2023-06-03 20:00:00,0,0
2023-06-03 21:00:00,0,0
2023-06-03 22:00:00,53,0
2023-06-03 23:00:00,0,70
2023-06-04 00:00:00,56,1
2023-06-04 01:00:00,27,197
2023-06-04 02:00:00,0,21
2023-06-04 03:00:00,0,0
2023-06-04 04:00:00,57,1
2023-06-04 05:00:00,49,98
2023-06-04 06:00:00,0,79
2023-06-04 07:00:00,0,0
2023-06-04 08:00:00,0,0
2023-06-04 09:00:00,0,1
2023-06-04 10:00:00,16,1
2023-06-04 11:00:00,0,24
2023-06-04 12:00:00,0,0
2023-06-04 13:00:00,153,1
2023-06-04 14:00:00,126,241
2023-06-04 15:00:00,0,196
2023-06-04 16:00:00,102,0
2023-06-04 17:00:00,137,156
2023-06-04 18:00:00,88,212
2023-06-04 19:00:00,70,136
2023-06-04 20:00:00,126,108
2023-06-04 21:00:00,103,192
2023-06-04 22:00:00,0,158
2023-06-04 23:00:00,5,1
2023-06-05 00:00:00,0,12
2023-06-05 01:00:00,105,0
2023-06-05 02:00:00,0,163
2023-06-05 03:00:00,0,0
2023-06-05 04:00:00,100,1
2023-06-05 05:00:00,56,93
2023-06-05 06:00:00,200,65
2023-06-05 07:00:00,0,222
2023-06-05 08:00:00,8,0
2023-06-05 09:00:00,128,9
2023-06-05 10:00:00,0,150
2023-06-05 11:00:00,146,0
2023-06-05 12:00:00,0,181
2023-06-05 13:00:00,86,0
2023-06-05 14:00:00,0,102
2023-06-05 15:00:00,46,0
2023-06-05 16:00:00,0,55
2023-06-05 17:00:00,192,0
2023-06-05 18:00:00,0,229
2023-06-05 19:00:00,0,0
2023-06-05 20:00:00,75,0
2023-06-05 21:00:00,0,89
2023-06-05 22:00:00,76,0
2023-06-05 23:00:00,0,90
2023-06-06 00:00:00,0,0
2023-06-06 01:00:00,18,0
2023-06-06 02:00:00,0,11
2023-06-06 03:00:00,50,0
2023-06-06 04:00:00,91,58
2023-06-06 05:00:00,72,133
2023-06-06 06:00:00,100,24
2023-06-06 07:00:00,0,90
2023-06-06 08:00:00,8,0
2023-06-06 09:00:00,27,7
2023-06-06 10:00:00,148,21
2023-06-06 11:00:00,3,107
2023-06-06 12:00:00,0,2
2023-06-06 13:00:00,0,0
2023-06-06 14:00:00,0,0
2023-06-06 15:00:00,0,0
2023-06-06 16:00:00,123,0
2023-06-06 17:00:00,0,100
2023-06-06 18:00:00,79,0
2023-06-06 19:00:00,0,64
2023-06-06 20:00:00,151,0
2023-06-06 21:00:00,28,123
2023-06-06 22:00:00,0,23
2023-06-06 23:00:00,59,0
2023-06-07 00:00:00,0,797
2023-06-07 01:00:00,61,0
2023-06-07 02:00:00,0,28
2023-06-07 03:00:00,0,0
2023-06-07 04:00:00,15,0
2023-06-07 05:00:00,0,8
2023-06-07 06:00:00,29,0
