Time,03 Chiller Group_Electric_Active Energy (kWh),outdoor_temp,outdoor_humidity,heat_index,Chiller Group_Electric_Power Factor (real)(efficiency),set_point,num_active_chiller
2022-07-01 00:00:00,195.5,15.97,0.37,15.97,0.7837500000000001,18,0
2022-07-01 01:00:00,195.25,15.1,0.37,15.1,0.77975,18,0
2022-07-01 02:00:00,162.25,14.8,0.38,14.8,0.7945,18,0
2022-07-01 03:00:00,157.5,15.1,0.38,15.1,0.78075,18,0
2022-07-01 04:00:00,158.25,15.97,0.38,15.97,0.7847500000000001,18,0
2022-07-01 05:00:00,132.1,17.36,0.39,17.36,0.6045,18,0
2022-07-01 06:00:00,149.5,19.18,0.39,19.18,0.761,18,1
2022-07-01 07:00:00,167.25,21.29,0.39,21.29,0.7805,19,2
2022-07-01 08:00:00,213.0,23.55,0.4,23.55,0.7997500000000001,20,3
2022-07-01 09:00:00,220.25,25.81,0.4,25.81,0.8077500000000001,20,4
2022-07-01 10:00:00,225.0,27.92,0.4,27.6,0.811,21,5
2022-07-01 11:00:00,229.5,29.74,0.41,29.5,0.8245,22,6
2022-07-01 12:00:00,174.0075,31.13,0.41,31.23,0.86225,22,7
2022-07-01 13:00:00,173.15,32.0,0.41,32.46,0.78775,23,7
2022-07-01 14:00:00,250.25,32.3,0.42,33.1,0.8265,23,7
2022-07-01 15:00:00,230.75,32.0,0.42,32.64,0.82075,23,7
2022-07-01 16:00:00,204.25,31.13,0.42,31.39,0.81325,22,7
2022-07-01 17:00:00,229.5,29.74,0.43,29.74,0.6439999999999999,22,6
2022-07-01 18:00:00,228.75,27.92,0.43,27.8,0.82225,21,5
2022-07-01 19:00:00,189.0,25.81,0.44,25.81,0.8380000000000001,20,4
2022-07-01 20:00:00,207.0,23.55,0.44,23.55,0.801,20,3
2022-07-01 21:00:00,204.25,21.29,0.44,21.29,0.792,19,2
2022-07-01 22:00:00,208.5,19.18,0.45,19.18,0.78125,18,1
2022-07-01 23:00:00,175.0,17.36,0.45,17.36,0.7605,18,0
2022-07-02 00:00:00,43.7625,21.58,0.45,21.58,0.9405,19,2
2022-07-02 01:00:00,19.1525,20.85,0.45,20.85,0.9285,19,2
2022-07-02 02:00:00,11.9425,20.6,0.45,20.6,0.785,19,2
2022-07-02 03:00:00,11.79,20.85,0.45,20.85,0.7875,19,2
2022-07-02 04:00:00,0.97,21.58,0.45,21.58,1.0,19,2
2022-07-02 05:00:00,0.965,22.74,0.44,22.74,1.0,20,3
2022-07-02 06:00:00,11.695,24.25,0.44,24.25,0.785,20,3
2022-07-02 07:00:00,58.690000000000005,26.01,0.44,26.01,0.86625,21,4
2022-07-02 08:00:00,108.4875,27.9,0.44,27.86,0.8089999999999999,21,5
2022-07-02 09:00:00,101.9,29.79,0.44,29.92,0.73825,22,6
2022-07-02 10:00:00,114.2375,31.55,0.43,32.16,0.82575,23,7
2022-07-02 11:00:00,124.85,33.06,0.43,34.56,0.75125,23,8
2022-07-02 12:00:00,143.7575,34.22,0.43,36.64,0.835,24,9
2022-07-02 13:00:00,132.55,34.95,0.43,38.06,0.753,24,10
2022-07-02 14:00:00,154.7,35.2,0.43,38.56,0.8047500000000001,25,10
2022-07-02 15:00:00,163.0,34.95,0.42,37.74,0.764,24,9
2022-07-02 16:00:00,142.5,34.22,0.42,36.36,0.748,24,9
2022-07-02 17:00:00,124.0,33.06,0.42,34.33,0.75725,23,8
2022-07-02 18:00:00,174.75,31.55,0.42,31.98,0.77625,22,7
2022-07-02 19:00:00,163.5,29.79,0.42,29.68,0.76625,22,6
2022-07-02 20:00:00,152.55,27.9,0.41,27.64,0.7585,21,5
2022-07-02 21:00:00,108.0,26.01,0.41,26.01,0.78,21,4
2022-07-02 22:00:00,42.2225,24.25,0.41,24.25,0.93775,20,3
2022-07-02 23:00:00,0.95,22.74,0.41,22.74,0.8175,20,3
2022-07-03 00:00:00,7.7475,22.88,0.41,22.88,0.785,20,3
2022-07-03 01:00:00,11.2625,22.3,0.4,22.3,0.7875,19,2
2022-07-03 02:00:00,0.965,22.1,0.4,22.1,1.0,19,2
2022-07-03 03:00:00,0.965,22.3,0.4,22.3,1.0,19,2
2022-07-03 04:00:00,7.637499999999999,22.88,0.39,22.88,0.785,20,3
2022-07-03 05:00:00,0.955,23.8,0.39,23.8,1.0,20,3
2022-07-03 06:00:00,0.9525,25.0,0.39,25.0,1.0,20,4
2022-07-03 07:00:00,18.27,26.4,0.38,26.4,0.5700000000000001,21,4
2022-07-03 08:00:00,0.95,27.9,0.38,27.45,1.0,21,5
2022-07-03 09:00:00,12.5325,29.4,0.38,28.83,0.785,21,5
2022-07-03 10:00:00,12.4425,30.8,0.37,30.27,0.966,22,6
2022-07-03 11:00:00,8.582500000000001,32.0,0.37,31.77,0.96625,22,7
2022-07-03 12:00:00,12.8575,32.92,0.36,32.87,0.9675,23,7
2022-07-03 13:00:00,25.205,33.5,0.36,33.71,0.935,23,8
2022-07-03 14:00:00,9.0425,33.7,0.36,34.01,0.96675,23,8
2022-07-03 15:00:00,12.4225,33.5,0.35,33.51,0.9645,23,8
2022-07-03 16:00:00,13.947500000000002,32.92,0.35,32.69,0.96875,23,7
2022-07-03 17:00:00,21.39,32.0,0.35,31.47,0.933,22,7
2022-07-03 18:00:00,12.8975,30.8,0.34,29.92,0.96575,22,6
2022-07-03 19:00:00,1.03,29.4,0.34,28.49,1.0,21,5
2022-07-03 20:00:00,12.8475,27.9,0.34,27.22,0.9655,21,5
2022-07-03 21:00:00,19.5775,26.4,0.33,26.4,0.75025,21,4
2022-07-03 22:00:00,12.5375,25.0,0.33,25.0,0.785,20,4
2022-07-03 23:00:00,0.965,23.8,0.33,23.8,1.0,20,3
2022-07-04 00:00:00,122.7375,21.12,0.32,21.12,0.815,19,2
2022-07-04 01:00:00,132.65,20.44,0.32,20.44,0.74,19,2
2022-07-04 02:00:00,82.4675,20.2,0.32,20.2,0.659,19,1
2022-07-04 03:00:00,136.75,20.44,0.31,20.44,0.73325,19,2
2022-07-04 04:00:00,79.9925,21.12,0.31,21.12,0.7889999999999999,19,2
2022-07-04 05:00:00,98.4,22.22,0.31,22.22,0.57275,19,2
2022-07-04 06:00:00,88.86,23.65,0.3,23.65,0.66125,20,3
2022-07-04 07:00:00,131.65,25.31,0.3,25.31,0.59775,20,4
2022-07-04 08:00:00,176.475,27.1,0.3,26.48,0.6255000000000001,21,4
2022-07-04 09:00:00,217.0,28.89,0.29,27.73,0.8037500000000001,21,5
2022-07-04 10:00:00,223.25,30.55,0.29,29.2,0.8085,22,6
2022-07-04 11:00:00,218.5,31.98,0.29,30.68,0.81375,22,6
2022-07-04 12:00:00,232.75,33.08,0.28,31.82,0.8205,22,7
2022-07-04 13:00:00,236.25,33.76,0.28,32.65,0.82175,23,7
2022-07-04 14:00:00,239.75,34.0,0.28,32.96,0.8214999999999999,23,7
2022-07-04 15:00:00,241.75,33.76,0.27,32.51,0.8272499999999999,23,7
2022-07-04 16:00:00,247.5,33.08,0.27,31.7,0.8292499999999999,22,7
2022-07-04 17:00:00,245.25,31.98,0.27,30.48,0.8312499999999999,22,6
2022-07-04 18:00:00,241.5,30.55,0.26,28.99,0.82675,21,5
2022-07-04 19:00:00,235.0,28.89,0.26,27.58,0.819,21,5
2022-07-04 20:00:00,198.5,27.1,0.26,26.33,0.8355,21,4
2022-07-04 21:00:00,166.75,25.31,0.25,25.31,0.78925,20,4
2022-07-04 22:00:00,156.0,23.65,0.25,23.65,0.77125,20,3
2022-07-04 23:00:00,89.9525,22.22,0.25,22.22,0.812,19,2
2022-07-05 00:00:00,48.655,19.95,0.24,19.95,0.8585,19,1
2022-07-05 01:00:00,68.85,19.09,0.25,19.09,0.5725,18,1
2022-07-05 02:00:00,36.925,18.8,0.26,18.8,0.14,18,1
2022-07-05 03:00:00,85.88749999999999,19.09,0.27,19.09,0.8005,18,1
2022-07-05 04:00:00,81.8,19.95,0.28,19.95,0.438,19,1
2022-07-05 05:00:00,151.0,21.32,0.29,21.32,0.74,19,2
2022-07-05 06:00:00,128.65,23.1,0.3,23.1,0.7535000000000001,20,3
2022-07-05 07:00:00,122.025,25.17,0.31,25.17,0.6035,20,4
2022-07-05 08:00:00,166.5,27.4,0.32,26.76,0.7715000000000001,21,4
2022-07-05 09:00:00,176.0,29.63,0.32,28.56,0.78125,21,5
2022-07-05 10:00:00,179.75,31.7,0.33,30.83,0.78425,22,6
2022-07-05 11:00:00,182.75,33.48,0.34,33.29,0.7827500000000001,23,7
2022-07-05 12:00:00,179.375,34.85,0.35,35.59,0.8295,24,8
2022-07-05 13:00:00,177.7,35.71,0.36,37.31,0.83025,24,9
2022-07-05 14:00:00,215.75,36.0,0.37,38.14,0.80625,24,10
2022-07-05 15:00:00,210.5,35.71,0.38,37.92,0.80175,24,10
2022-07-05 16:00:00,209.75,34.85,0.39,36.65,0.8025,24,9
2022-07-05 17:00:00,184.0,33.48,0.39,34.33,0.7987500000000001,23,8
2022-07-05 18:00:00,204.75,31.7,0.4,31.85,0.79725,22,7
2022-07-05 19:00:00,175.5,29.63,0.41,29.38,0.77325,22,6
2022-07-05 20:00:00,172.75,27.4,0.42,27.28,0.75925,21,5
2022-07-05 21:00:00,148.5,25.17,0.43,25.17,0.7575000000000001,20,4
2022-07-05 22:00:00,107.425,23.1,0.44,23.1,0.74075,20,3
2022-07-05 23:00:00,59.2925,21.32,0.45,21.32,0.63575,19,2
2022-07-06 00:00:00,58.725,22.47,0.46,22.47,0.87075,19,3
2022-07-06 01:00:00,41.36,22.04,0.45,22.04,0.859,19,2
2022-07-06 02:00:00,31.1175,21.9,0.45,21.9,0.497,19,2
2022-07-06 03:00:00,62.725,22.04,0.45,22.04,0.28825,19,2
2022-07-06 04:00:00,45.185,22.47,0.44,22.47,0.857,19,3
2022-07-06 05:00:00,35.8,23.14,0.44,23.14,0.85825,20,3
2022-07-06 06:00:00,86.0625,24.02,0.44,24.02,0.8015,20,3
2022-07-06 07:00:00,81.58500000000001,25.05,0.44,25.05,0.80625,20,4
2022-07-06 08:00:00,136.0,26.15,0.43,26.15,0.766,21,4
2022-07-06 09:00:00,149.25,27.25,0.43,27.22,0.7655000000000001,21,5
2022-07-06 10:00:00,135.7,28.28,0.43,28.14,0.769,21,5
2022-07-06 11:00:00,147.75,29.16,0.42,28.96,0.77,21,5
2022-07-06 12:00:00,135.475,29.83,0.42,29.72,0.8025,22,6
2022-07-06 13:00:00,138.55,30.26,0.42,30.25,0.83825,22,6
2022-07-06 14:00:00,181.5,30.4,0.41,30.29,0.7915000000000001,22,6
2022-07-06 15:00:00,175.0,30.26,0.41,30.12,0.8075,22,6
2022-07-06 16:00:00,164.0,29.83,0.41,29.61,0.8005,22,6
2022-07-06 17:00:00,154.25,29.16,0.41,28.86,0.7715000000000001,21,5
2022-07-06 18:00:00,129.45,28.28,0.4,27.91,0.7605,21,5
2022-07-06 19:00:00,161.25,27.25,0.4,27.05,0.76925,21,5
2022-07-06 20:00:00,127.75,26.15,0.4,26.15,0.70625,21,4
2022-07-06 21:00:00,128.375,25.05,0.39,25.05,0.74675,20,4
2022-07-06 22:00:00,56.5425,24.02,0.39,24.02,0.646,20,3
2022-07-06 23:00:00,21.58,23.14,0.39,23.14,0.575,20,3
2022-07-07 00:00:00,33.155,18.48,0.38,18.48,0.7222500000000001,18,1
2022-07-07 01:00:00,0.9625,17.75,0.38,17.75,1.0,18,0
2022-07-07 02:00:00,13.8,17.5,0.38,17.5,0.5700000000000001,18,0
2022-07-07 03:00:00,34.6,17.75,0.38,17.75,0.14,18,0
2022-07-07 04:00:00,17.75,18.48,0.37,18.48,0.5700000000000001,18,1
2022-07-07 05:00:00,24.2675,19.65,0.37,19.65,0.355,19,1
2022-07-07 06:00:00,27.22,21.18,0.37,21.18,0.5625,19,2
2022-07-07 07:00:00,17.8075,22.95,0.37,22.95,0.929,20,3
2022-07-07 08:00:00,79.025,24.85,0.36,24.85,0.5715,20,4
2022-07-07 09:00:00,93.4375,26.75,0.36,26.51,0.81725,21,4
2022-07-07 10:00:00,117.975,28.52,0.36,27.84,0.754,21,5
2022-07-07 11:00:00,119.425,30.05,0.36,29.32,0.76825,22,6
