datetime,temp,humidity,precip,windspeed,uvindex,conditions
2018-01-01 00:00:00,22.56,0.67,0.0,17.9,5.0,Partially cloudy
2018-01-01 01:00:00,22.14,0.67,0.0,17.9,5.0,Partially cloudy
2018-01-01 02:00:00,22.0,0.67,0.0,17.91,5.0,Partially cloudy
2018-01-01 03:00:00,22.14,0.66,0.0,17.91,5.0,Partially cloudy
2018-01-01 04:00:00,22.56,0.66,0.0,17.92,5.0,Partially cloudy
2018-01-01 05:00:00,23.22,0.66,0.0,17.92,5.0,Partially cloudy
2018-01-01 06:00:00,24.08,0.66,0.0,17.92,5.0,Partially cloudy
2018-01-01 07:00:00,25.08,0.66,0.0,17.93,5.0,Partially cloudy
2018-01-01 08:00:00,26.15,0.66,0.0,17.93,5.0,Partially cloudy
2018-01-01 09:00:00,27.22,0.66,0.0,17.94,5.0,Partially cloudy
2018-01-01 10:00:00,28.22,0.66,0.0,17.94,5.0,Partially cloudy
2018-01-01 11:00:00,29.08,0.66,0.0,17.95,5.0,Partially cloudy
2018-01-01 12:00:00,29.74,0.66,0.0,17.95,5.0,Partially cloudy
2018-01-01 13:00:00,30.16,0.66,0.0,17.95,5.0,Partially cloudy
2018-01-01 14:00:00,30.3,0.66,0.0,17.96,5.0,Partially cloudy
2018-01-01 15:00:00,30.16,0.66,0.0,17.96,5.0,Partially cloudy
2018-01-01 16:00:00,29.74,0.66,0.0,17.97,5.0,Partially cloudy
2018-01-01 17:00:00,29.08,0.66,0.0,17.97,5.0,Partially cloudy
2018-01-01 18:00:00,28.22,0.66,0.0,17.98,5.0,Partially cloudy
2018-01-01 19:00:00,27.22,0.66,0.0,17.98,5.0,Partially cloudy
2018-01-01 20:00:00,26.15,0.66,0.0,17.98,5.0,Partially cloudy
2018-01-01 21:00:00,25.08,0.66,0.0,17.99,5.0,Partially cloudy
2018-01-01 22:00:00,24.08,0.66,0.0,17.99,5.0,Partially cloudy
2018-01-01 23:00:00,23.22,0.66,0.0,18.0,5.0,Partially cloudy
2018-01-02 00:00:00,22.78,0.66,0.0,18.0,5.0,Partially cloudy
2018-01-02 01:00:00,22.35,0.66,0.0,17.77,5.0,Partially cloudy
2018-01-02 02:00:00,22.2,0.66,0.0,17.54,5.0,Partially cloudy
2018-01-02 03:00:00,22.35,0.66,0.0,17.31,5.0,Partially cloudy
2018-01-02 04:00:00,22.78,0.65,0.0,17.08,5.0,Partially cloudy
2018-01-02 05:00:00,23.47,0.65,0.0,16.85,5.0,Partially cloudy
2018-01-02 06:00:00,24.38,0.65,0.0,16.62,5.0,Partially cloudy
2018-01-02 07:00:00,25.42,0.65,0.0,16.4,5.0,Partially cloudy
2018-01-02 08:00:00,26.55,0.65,0.0,16.17,5.0,Partially cloudy
2018-01-02 09:00:00,27.68,0.65,0.0,15.94,5.0,Partially cloudy
2018-01-02 10:00:00,28.72,0.65,0.0,15.71,5.0,Partially cloudy
2018-01-02 11:00:00,29.63,0.65,0.0,15.48,5.0,Partially cloudy
2018-01-02 12:00:00,30.32,0.65,0.0,15.25,5.0,Partially cloudy
2018-01-02 13:00:00,30.75,0.65,0.0,15.02,5.0,Partially cloudy
2018-01-02 14:00:00,30.9,0.65,0.0,14.79,5.0,Partially cloudy
2018-01-02 15:00:00,30.75,0.65,0.0,14.56,5.0,Partially cloudy
2018-01-02 16:00:00,30.32,0.65,0.0,14.33,5.0,Partially cloudy
2018-01-02 17:00:00,29.63,0.65,0.0,14.1,5.0,Partially cloudy
2018-01-02 18:00:00,28.72,0.65,0.0,13.88,5.0,Partially cloudy
2018-01-02 19:00:00,27.68,0.65,0.0,13.65,5.0,Partially cloudy
2018-01-02 20:00:00,26.55,0.65,0.0,13.42,5.0,Partially cloudy
2018-01-02 21:00:00,25.42,0.65,0.0,13.19,5.0,Partially cloudy
2018-01-02 22:00:00,24.38,0.65,0.0,12.96,5.0,Partially cloudy
2018-01-02 23:00:00,23.47,0.65,0.0,12.73,5.0,Partially cloudy
2018-01-03 00:00:00,24.66,0.65,0.0,12.5,5.0,Partially cloudy
2018-01-03 01:00:00,24.32,0.65,0.0,12.52,5.12,Partially cloudy
2018-01-03 02:00:00,24.2,0.65,0.0,12.54,5.25,Partially cloudy
2018-01-03 03:00:00,24.32,0.65,0.0,12.56,5.38,Partially cloudy
2018-01-03 04:00:00,24.66,0.65,0.0,12.58,5.5,Partially cloudy
2018-01-03 05:00:00,25.2,0.65,0.0,12.6,5.62,Partially cloudy
2018-01-03 06:00:00,25.9,0.65,0.0,12.62,5.75,Partially cloudy
2018-01-03 07:00:00,26.72,0.65,0.0,12.65,5.88,Partially cloudy
2018-01-03 08:00:00,27.6,0.65,0.0,12.67,6.0,Partially cloudy
2018-01-03 09:00:00,28.48,0.65,0.0,12.69,6.12,Partially cloudy
2018-01-03 10:00:00,29.3,0.65,0.0,12.71,6.25,Partially cloudy
2018-01-03 11:00:00,30.0,0.65,0.0,12.73,6.38,Partially cloudy
2018-01-03 12:00:00,30.54,0.64,0.0,12.75,6.5,Partially cloudy
2018-01-03 13:00:00,30.88,0.64,0.0,12.77,6.62,Partially cloudy
2018-01-03 14:00:00,31.0,0.64,0.0,12.79,6.75,Partially cloudy
2018-01-03 15:00:00,30.88,0.64,0.0,12.81,6.88,Partially cloudy
2018-01-03 16:00:00,30.54,0.64,0.0,12.83,7.0,Partially cloudy
2018-01-03 17:00:00,30.0,0.64,0.0,12.85,7.12,Partially cloudy
2018-01-03 18:00:00,29.3,0.64,0.0,12.88,7.25,Partially cloudy
