datetime,temp,humidity,precip,windspeed,uvindex,conditions
2022-07-01 00:00:00,15.97,0.37,0.0,19.1,8.0,Clear
2022-07-01 01:00:00,15.1,0.37,0.0,19.16,8.0,Clear
2022-07-01 02:00:00,14.8,0.38,0.0,19.23,8.0,Clear
2022-07-01 03:00:00,15.1,0.38,0.0,19.29,8.0,Clear
2022-07-01 04:00:00,15.97,0.38,0.0,19.35,8.0,Clear
2022-07-01 05:00:00,17.36,0.39,0.0,19.41,8.0,Clear
2022-07-01 06:00:00,19.18,0.39,0.0,19.48,8.0,Clear
2022-07-01 07:00:00,21.29,0.39,0.0,19.54,8.0,Clear
2022-07-01 08:00:00,23.55,0.4,0.0,19.6,8.0,Clear
2022-07-01 09:00:00,25.81,0.4,0.0,19.66,8.0,Clear
2022-07-01 10:00:00,27.92,0.4,0.0,19.73,8.0,Clear
2022-07-01 11:00:00,29.74,0.41,0.0,19.79,8.0,Clear
2022-07-01 12:00:00,31.13,0.41,0.0,19.85,8.0,Clear
2022-07-01 13:00:00,32.0,0.41,0.0,19.91,8.0,Clear
2022-07-01 14:00:00,32.3,0.42,0.0,19.98,8.0,Clear
2022-07-01 15:00:00,32.0,0.42,0.0,20.04,8.0,Clear
2022-07-01 16:00:00,31.13,0.42,0.0,20.1,8.0,Clear
2022-07-01 17:00:00,29.74,0.43,0.0,20.16,8.0,Clear
2022-07-01 18:00:00,27.92,0.43,0.0,20.23,8.0,Clear
2022-07-01 19:00:00,25.81,0.44,0.0,20.29,8.0,Clear
2022-07-01 20:00:00,23.55,0.44,0.0,20.35,8.0,Clear
2022-07-01 21:00:00,21.29,0.44,0.0,20.41,8.0,Clear
2022-07-01 22:00:00,19.18,0.45,0.0,20.48,8.0,Clear
2022-07-01 23:00:00,17.36,0.45,0.0,20.54,8.0,Clear
2022-07-02 00:00:00,21.58,0.45,0.0,20.6,8.0,Partially cloudy
2022-07-02 01:00:00,20.85,0.45,0.0,20.77,7.96,Partially cloudy
2022-07-02 02:00:00,20.6,0.45,0.0,20.94,7.92,Partially cloudy
2022-07-02 03:00:00,20.85,0.45,0.0,21.11,7.88,Partially cloudy
2022-07-02 04:00:00,21.58,0.45,0.0,21.28,7.83,Partially cloudy
2022-07-02 05:00:00,22.74,0.44,0.0,21.45,7.79,Partially cloudy
2022-07-02 06:00:00,24.25,0.44,0.0,21.62,7.75,Partially cloudy
2022-07-02 07:00:00,26.01,0.44,0.0,21.8,7.71,Partially cloudy
2022-07-02 08:00:00,27.9,0.44,0.0,21.97,7.67,Partially cloudy
2022-07-02 09:00:00,29.79,0.44,0.0,22.14,7.62,Partially cloudy
2022-07-02 10:00:00,31.55,0.43,0.0,22.31,7.58,Partially cloudy
2022-07-02 11:00:00,33.06,0.43,0.0,22.48,7.54,Partially cloudy
2022-07-02 12:00:00,34.22,0.43,0.0,22.65,7.5,Partially cloudy
2022-07-02 13:00:00,34.95,0.43,0.0,22.82,7.46,Partially cloudy
2022-07-02 14:00:00,35.2,0.43,0.0,22.99,7.42,Partially cloudy
2022-07-02 15:00:00,34.95,0.42,0.0,23.16,7.38,Partially cloudy
2022-07-02 16:00:00,34.22,0.42,0.0,23.33,7.33,Partially cloudy
2022-07-02 17:00:00,33.06,0.42,0.0,23.5,7.29,Partially cloudy
2022-07-02 18:00:00,31.55,0.42,0.0,23.68,7.25,Partially cloudy
2022-07-02 19:00:00,29.79,0.42,0.0,23.85,7.21,Partially cloudy
2022-07-02 20:00:00,27.9,0.41,0.0,24.02,7.17,Partially cloudy
2022-07-02 21:00:00,26.01,0.41,0.0,24.19,7.12,Partially cloudy
2022-07-02 22:00:00,24.25,0.41,0.0,24.36,7.08,Partially cloudy
2022-07-02 23:00:00,22.74,0.41,0.0,24.53,7.04,Partially cloudy
2022-07-03 00:00:00,22.88,0.41,0.0,24.7,7.0,Clear
2022-07-03 01:00:00,22.3,0.4,0.0,24.35,7.04,Clear
2022-07-03 02:00:00,22.1,0.4,0.0,23.99,7.08,Clear
2022-07-03 03:00:00,22.3,0.4,0.0,23.64,7.12,Clear
2022-07-03 04:00:00,22.88,0.39,0.0,23.28,7.17,Clear
2022-07-03 05:00:00,23.8,0.39,0.0,22.93,7.21,Clear
2022-07-03 06:00:00,25.0,0.39,0.0,22.58,7.25,Clear
2022-07-03 07:00:00,26.4,0.38,0.0,22.22,7.29,Clear
2022-07-03 08:00:00,27.9,0.38,0.0,21.87,7.33,Clear
2022-07-03 09:00:00,29.4,0.38,0.0,21.51,7.38,Clear
2022-07-03 10:00:00,30.8,0.37,0.0,21.16,7.42,Clear
2022-07-03 11:00:00,32.0,0.37,0.0,20.8,7.46,Clear
2022-07-03 12:00:00,32.92,0.36,0.0,20.45,7.5,Clear
2022-07-03 13:00:00,33.5,0.36,0.0,20.1,7.54,Clear
2022-07-03 14:00:00,33.7,0.36,0.0,19.74,7.58,Clear
2022-07-03 15:00:00,33.5,0.35,0.0,19.39,7.62,Clear
2022-07-03 16:00:00,32.92,0.35,0.0,19.03,7.67,Clear
2022-07-03 17:00:00,32.0,0.35,0.0,18.68,7.71,Clear
2022-07-03 18:00:00,30.8,0.34,0.0,18.32,7.75,Clear
2022-07-03 19:00:00,29.4,0.34,0.0,17.97,7.79,Clear
2022-07-03 20:00:00,27.9,0.34,0.0,17.62,7.83,Clear
2022-07-03 21:00:00,26.4,0.33,0.0,17.26,7.88,Clear
2022-07-03 22:00:00,25.0,0.33,0.0,16.91,7.92,Clear
2022-07-03 23:00:00,23.8,0.33,0.0,16.55,7.96,Clear
2022-07-04 00:00:00,21.12,0.32,0.0,16.2,8.0,Clear
2022-07-04 01:00:00,20.44,0.32,0.0,16.42,8.0,Clear
2022-07-04 02:00:00,20.2,0.32,0.0,16.64,8.0,Clear
2022-07-04 03:00:00,20.44,0.31,0.0,16.86,8.0,Clear
2022-07-04 04:00:00,21.12,0.31,0.0,17.08,8.0,Clear
2022-07-04 05:00:00,22.22,0.31,0.0,17.3,8.0,Clear
2022-07-04 06:00:00,23.65,0.3,0.0,17.52,8.0,Clear
2022-07-04 07:00:00,25.31,0.3,0.0,17.75,8.0,Clear
2022-07-04 08:00:00,27.1,0.3,0.0,17.97,8.0,Clear
2022-07-04 09:00:00,28.89,0.29,0.0,18.19,8.0,Clear
2022-07-04 10:00:00,30.55,0.29,0.0,18.41,8.0,Clear
2022-07-04 11:00:00,31.98,0.29,0.0,18.63,8.0,Clear
2022-07-04 12:00:00,33.08,0.28,0.0,18.85,8.0,Clear
2022-07-04 13:00:00,33.76,0.28,0.0,19.07,8.0,Clear
2022-07-04 14:00:00,34.0,0.28,0.0,19.29,8.0,Clear
2022-07-04 15:00:00,33.76,0.27,0.0,19.51,8.0,Clear
2022-07-04 16:00:00,33.08,0.27,0.0,19.73,8.0,Clear
2022-07-04 17:00:00,31.98,0.27,0.0,19.95,8.0,Clear
2022-07-04 18:00:00,30.55,0.26,0.0,20.18,8.0,Clear
2022-07-04 19:00:00,28.89,0.26,0.0,20.4,8.0,Clear
2022-07-04 20:00:00,27.1,0.26,0.0,20.62,8.0,Clear
2022-07-04 21:00:00,25.31,0.25,0.0,20.84,8.0,Clear
2022-07-04 22:00:00,23.65,0.25,0.0,21.06,8.0,Clear
2022-07-04 23:00:00,22.22,0.25,0.0,21.28,8.0,Clear
2022-07-05 00:00:00,19.95,0.24,0.0,21.5,8.0,Clear
2022-07-05 01:00:00,19.09,0.25,0.0,21.68,7.96,Clear
2022-07-05 02:00:00,18.8,0.26,0.01,21.85,7.92,Clear
2022-07-05 03:00:00,19.09,0.27,0.01,22.02,7.88,Clear
2022-07-05 04:00:00,19.95,0.28,0.01,22.2,7.83,Clear
2022-07-05 05:00:00,21.32,0.29,0.01,22.38,7.79,Clear
2022-07-05 06:00:00,23.1,0.3,0.02,22.55,7.75,Clear
2022-07-05 07:00:00,25.17,0.31,0.02,22.72,7.71,Clear
2022-07-05 08:00:00,27.4,0.32,0.02,22.9,7.67,Clear
2022-07-05 09:00:00,29.63,0.32,0.03,23.08,7.62,Clear
2022-07-05 10:00:00,31.7,0.33,0.03,23.25,7.58,Clear
2022-07-05 11:00:00,33.48,0.34,0.03,23.42,7.54,Clear
2022-07-05 12:00:00,34.85,0.35,0.04,23.6,7.5,Clear
2022-07-05 13:00:00,35.71,0.36,0.04,23.78,7.46,Clear
2022-07-05 14:00:00,36.0,0.37,0.04,23.95,7.42,Clear
2022-07-05 15:00:00,35.71,0.38,0.04,24.12,7.38,Clear
2022-07-05 16:00:00,34.85,0.39,0.05,24.3,7.33,Clear
2022-07-05 17:00:00,33.48,0.39,0.05,24.48,7.29,Clear
2022-07-05 18:00:00,31.7,0.4,0.05,24.65,7.25,Clear
2022-07-05 19:00:00,29.63,0.41,0.06,24.82,7.21,Clear
2022-07-05 20:00:00,27.4,0.42,0.06,25.0,7.17,Clear
2022-07-05 21:00:00,25.17,0.43,0.06,25.18,7.12,Clear
