Time,production_schedule,compressor_consumption,operational_presence,testing_schedule,active_computers,maintenance_status,lightbulbs_active,workload,volume_production_waste,fabric_in_chamber,active_wall_plugs,number_of_workers,heat_index,price_mWh,Hour,efficiency_adjusted_power,technological_centers_consumption
2023-06-01 00:00:00,0,1.0087148141884623,0.0,0.0910308474346264,0,0,0,0.0,0,0.0,0,0,14.27,94.09,0,0.6084663318944961,1.001111781421466
2023-06-01 01:00:00,31,16.339982577741058,4.370405479317454,15.624779449422531,1,15,1,23.99076053343143,17,11.078916530774633,2,0,13.77,87.0,1,0.6091328904758088,30.909300996301734
2023-06-01 02:00:00,0,16.49120596755338,3.889100811749534,17.954942836277517,1,24,1,25.457470192273636,15,3.723167699555608,0,73,13.6,87.0,2,0.6098755857285046,28.756900442678106
2023-06-01 03:00:00,0,16.46538111411299,4.362755801212393,11.717233182608078,1,1,2,19.70724317563398,11,5.162315339579053,1,0,13.77,89.01,3,0.6103173379998578,28.556673821103992
2023-06-01 04:00:00,21,17.650719928180095,5.727740168739597,19.267657137886907,2,34,3,22.953784658596472,13,9.049066405649429,2,0,14.27,81.0,4,0.6099328514951267,28.55667473454002
2023-06-01 05:00:00,12,17.27256484509443,3.9866126362752863,6.058799273714001,0,0,2,19.07400981499709,9,7.968234843345401,2,0,15.06,80.1,5,0.6095374127178018,28.3814829245766
2023-06-01 06:00:00,12,27.86373862641084,3.245101802675289,21.827979979320723,2,45,1,17.939802627110264,13,5.510599113360808,1,0,16.1,88.1,6,0.6095565308181288,29.707961228711977
2023-06-01 07:00:00,41,52.271777270912494,5.813971341517057,14.18732731793223,1,24,3,21.181540384339737,18,9.834054239648976,3,0,17.31,98.5,7,0.609516324229878,27.355346052763515
2023-06-01 08:00:00,31,55.47421069104132,4.728541204626628,18.233219660396987,1,44,2,18.41351239026464,17,7.561133778723734,2,0,18.6,99.07,8,0.6095695384165372,28.356455487658565
2023-06-01 09:00:00,32,54.66702324540359,3.4148127563085016,15.624899799980746,2,35,2,21.713371771787052,24,7.65358088867454,3,29,19.89,87.3,9,0.6096320758260081,28.857011140634327
2023-06-01 10:00:00,35,54.03701906470076,4.467737528082328,15.523235652372216,2,29,4,20.049188967504687,17,8.855086466254098,5,88,21.1,73.86,10,0.6096343903072904,29.958233484399987
2023-06-01 11:00:00,21,44.25336098631783,3.463396078821444,17.103327932167986,2,36,2,14.204356298586056,8,6.600140083227567,3,91,22.14,72.81,11,0.6096248892202776,28.731873369514773
2023-06-01 12:00:00,50,54.08753853906763,3.430688679020254,17.833010733336085,2,39,2,21.230351096537277,20,10.441349173808302,5,161,22.93,72.81,12,0.6096201904498874,30.233539325577823
2023-06-01 13:00:00,23,54.94463624131583,3.377733274762961,9.891166829588634,2,29,3,15.873991483940737,22,4.242482081958941,3,62,23.43,72.0,13,0.6096111684098954,29.73298335632551
2023-06-01 14:00:00,35,55.65073779934925,1.8690221859322451,18.398244414082477,2,41,1,21.09932079166517,20,8.588412161242395,3,58,23.6,70.49,14,0.6096105454764676,30.158455415993192
2023-06-01 15:00:00,52,51.086701100008455,2.0492109434459267,9.983262967243965,1,15,1,17.63001717346245,17,10.140542931398045,4,30,23.43,69.0,15,0.6096132463321879,31.38481601814656
2023-06-01 16:00:00,10,56.55856074911087,3.274296542942312,14.268482761698008,1,30,1,22.231306342517858,24,4.474382266180986,1,32,22.93,68.18,16,0.6096143293378149,30.533872119694976
2023-06-01 17:00:00,22,56.079429825090806,2.799298657762594,17.55146822085819,2,40,2,17.85867074826439,15,6.552668306497268,3,201,22.14,73.0,17,0.6096150956534984,31.284705013124693
2023-06-01 18:00:00,47,52.37274453250919,4.193330591833585,18.08121923612173,3,46,4,21.727703590180415,24,9.540764802825633,5,68,21.1,86.16,18,0.6096152664504958,29.45767819958898
2023-06-01 19:00:00,45,44.27851769982827,2.905072023421536,16.01437615270784,2,35,2,15.85726277499532,13,9.55868747215511,4,71,19.89,99.35,19,0.6096147474983082,30.008288960585062
2023-06-01 20:00:00,30,56.65938140267981,2.371001556739959,12.694834627572924,1,27,1,16.19900504813863,16,6.885033562216271,3,0,18.6,102.5,20,0.6096145136250066,32.58614868751368
2023-06-01 21:00:00,18,56.86110279957373,5.4064679150797,17.760887810976193,2,42,3,21.143948096321985,22,5.768298235176407,2,76,17.31,103.79,21,0.6096144746586247,31.009399576758305
2023-06-01 22:00:00,40,55.726413990638946,3.6339957242259446,11.624933801565382,1,16,2,16.545970987983896,12,9.165317574365275,3,91,16.1,101.77,22,0.6096144760774654,32.46100988420612
2023-06-01 23:00:00,30,17.27266309722623,3.959623889695197,21.2060876036479,2,39,2,29.17022975182249,27,9.66262371628428,3,107,15.06,92.02,23,0.6096145471586842,28.48159540177569
2023-06-02 00:00:00,0,19.291670825033773,1.4026960960975492,15.697261186429412,1,12,0,10.449547635325924,7,2.479904454056562,0,70,14.23,89.51,0,0.6084655434761397,27.880963112589555
2023-06-02 01:00:00,0,18.83636880640085,0.4678319955564893,0.0315894301358212,0,0,0,5.146642724128877,7,0.1776127708024122,0,10,13.76,80.1,1,0.6091322332522598,27.70574591328486
2023-06-02 02:00:00,13,17.020740105141524,0.2486980273389953,0.0223821078521748,0,0,1,5.290325672168994,15,0.2655671051600166,1,5,13.6,77.0,2,0.6098749350993994,27.73076213271322
2023-06-02 03:00:00,22,16.591456007814745,0.0094486250822576,0.41055362316657,1,13,0,0.1897317507860498,2,1.4366443651750225,2,10,13.76,77.0,3,0.6103167137533054,28.131201906153404
2023-06-02 04:00:00,8,17.953303699005822,0.5453756595211225,0.5776310918334575,1,14,1,5.409120851813284,16,0.0579126185665888,1,29,14.23,74.26,4,0.6099323769985389,26.6295371757678
2023-06-02 05:00:00,23,18.104673809416855,0.1246684114790372,7.536617099617567,2,40,1,4.832533977818994,15,1.674278379944294,2,129,14.98,80.0,5,0.6095369856915236,27.05501150041264
2023-06-02 06:00:00,1,16.44086659419179,0.0,0.0606945167777617,0,0,1,5.943729991312273,16,0.0,1,96,15.95,89.33,6,0.6095560416011719,25.10285182173454
2023-06-02 07:00:00,0,8.926294816582883,0.0900090255569094,0.3144880368738001,1,11,1,0.3382363263337617,3,0.0436818902855533,0,73,17.08,91.72,7,0.6095158335301436,23.951570148668836
2023-06-02 08:00:00,4,8.994386797493906,4.944462974518296,6.724952611611398,0,0,3,7.986737952232906,0,4.62799640701829,1,169,18.3,93.3,8,0.6095690228774867,25.778595897871742
2023-06-02 09:00:00,11,6.482883614794921,3.945391176907328,12.477494431953932,0,3,1,15.29919803360454,1,7.776057508825808,1,0,19.52,87.44,9,0.6096315483458088,27.655678499914504
2023-06-02 10:00:00,6,6.404761009479679,2.855284446223863,21.04257610052717,2,35,1,17.226561987693874,4,6.880146676696582,2,0,20.65,89.82,10,0.6096338755317254,27.004957334726956
2023-06-02 11:00:00,0,9.186039548916018,4.7916663189179785,10.291222996181656,0,0,2,26.6259521591253,20,5.0241531620864865,1,14,21.62,82.1,11,0.6096243809789165,26.103958122303524
2023-06-02 12:00:00,0,6.477896807301567,2.6489082653164475,16.98999894929544,1,19,1,29.548909043932156,25,3.7438247553271142,0,0,22.37,81.1,12,0.6096196830787378,26.70462455330472
2023-06-02 13:00:00,3,9.233926476612266,4.22889593245202,15.950399528031006,1,16,2,20.530910372972592,9,6.486005662572681,2,0,22.84,81.1,13,0.6096106633475815,27.330318034602655
