Date,Hour,optimized_Power Transport Vehicles,optimized_Set Point,optimized_Number of Active Chillers,optimized_Standby Power Down,optimized_Active Printers,optimized_Active Coffee Machines,optimized_Number of Servers,optimized_Number of Network Switches (PoE),optimized_Number of Network Switches (Non-PoE),optimized_Number of HDDs,optimized_Number of SSDs,optimized_Compressor Energy,optimized_Technological Centers Energy,optimized_Chiller Energy,optimized_Data Center Energy,optimized_Production Energy,optimized_UTA Energy,optimized_Office Energy,optimized_Total Cost,optimized_Production Schedule,optimized_Maintenance Status,optimized_Volume Production Waste,optimized_Number of Workers,optimized_Heat Index,optimized_Efficiency Adjusted Power,optimized_Operational Presence,optimized_Fabric in Chamber,optimized_Testing Schedule,optimized_Workload,optimized_Lightbulbs Active,optimized_Active Wall Plugs,optimized_Active Computers,optimized_Price mWh
2023-06-01,0,0.0,,,,,,,,,,,1.0087148141884623,1.001111781421466,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,14.27,0.6084663318944961,0.0,0.0,0.0910308474346264,0.0,0,0,0,94.09
2023-06-01,1,0.0,,,,,,,,,,,16.339982577741058,30.909300996301734,0.0,0.0,0.0,0.0,0.0,0.0,31,15,17,0,13.77,0.6091328904758088,4.370405479317454,11.078916530774633,15.624779449422531,23.99076053343143,1,2,1,87.0
2023-06-01,2,0.0,,,,,,,,,,,16.49120596755338,28.756900442678106,0.0,0.0,0.0,0.0,0.0,0.0,0,24,15,73,13.6,0.6098755857285046,3.889100811749534,3.723167699555608,17.954942836277517,25.457470192273636,1,0,1,87.0
2023-06-01,3,0.0,,,,,,,,,,,16.46538111411299,28.556673821103992,0.0,0.0,0.0,0.0,0.0,0.0,0,1,11,0,13.77,0.6103173379998578,4.362755801212393,5.162315339579053,11.717233182608078,19.70724317563398,2,1,1,89.01
2023-06-01,4,0.0,,,,,,,,,,,17.650719928180095,28.55667473454002,0.0,0.0,0.0,0.0,0.0,0.0,21,34,13,0,14.27,0.6099328514951267,5.727740168739597,9.049066405649429,19.267657137886907,22.953784658596472,3,2,2,81.0
2023-06-01,5,0.0,,,,,,,,,,,17.27256484509443,28.3814829245766,0.0,0.0,0.0,0.0,0.0,0.0,12,0,9,0,15.06,0.6095374127178018,3.9866126362752863,7.968234843345401,6.058799273714001,19.07400981499709,2,2,0,80.1
2023-06-01,6,0.0,,,,,,,,,,,27.86373862641084,29.707961228711977,0.0,0.0,0.0,0.0,0.0,0.0,12,45,13,0,16.1,0.6095565308181288,3.245101802675289,5.510599113360808,21.827979979320723,17.939802627110264,1,1,2,88.1
2023-06-01,7,0.0,,,,,,,,,,,52.271777270912494,27.355346052763515,0.0,0.0,0.0,0.0,0.0,0.0,41,24,18,0,17.31,0.609516324229878,5.813971341517057,9.834054239648976,14.18732731793223,21.181540384339737,3,3,1,98.5
2023-06-01,8,0.0,,,,,,,,,,,55.47421069104132,28.356455487658565,0.0,0.0,0.0,0.0,0.0,0.0,31,44,17,0,18.6,0.6095695384165372,4.728541204626628,7.561133778723734,18.233219660396987,18.41351239026464,2,2,1,99.07
2023-06-01,9,0.0,,,,,,,,,,,54.66702324540359,28.857011140634327,0.0,0.0,0.0,0.0,0.0,0.0,32,35,24,29,19.89,0.6096320758260081,3.4148127563085016,7.65358088867454,15.624899799980746,21.713371771787052,2,3,2,87.3
2023-06-01,10,0.0,,,,,,,,,,,54.03701906470076,29.958233484399987,0.0,0.0,0.0,0.0,0.0,0.0,35,29,17,88,21.1,0.6096343903072904,4.467737528082328,8.855086466254098,15.523235652372216,20.049188967504687,4,5,2,73.86
2023-06-01,11,0.0,,,,,,,,,,,44.25336098631783,28.731873369514773,0.0,0.0,0.0,0.0,0.0,0.0,21,36,8,91,22.14,0.6096248892202776,3.463396078821444,6.600140083227567,17.103327932167986,14.204356298586056,2,3,2,72.81
2023-06-01,12,0.0,,,,,,,,,,,54.08753853906763,30.233539325577823,0.0,0.0,0.0,0.0,0.0,0.0,50,39,20,161,22.93,0.6096201904498874,3.430688679020254,10.441349173808302,17.833010733336085,21.230351096537277,2,5,2,72.81
2023-06-01,13,0.0,,,,,,,,,,,54.94463624131583,29.73298335632551,0.0,0.0,0.0,0.0,0.0,0.0,23,29,22,62,23.43,0.6096111684098954,3.377733274762961,4.242482081958941,9.891166829588634,15.873991483940737,3,3,2,72.0
2023-06-01,14,0.0,,,,,,,,,,,55.65073779934925,30.158455415993192,0.0,0.0,0.0,0.0,0.0,0.0,35,41,20,58,23.6,0.6096105454764676,1.8690221859322451,8.588412161242395,18.398244414082477,21.09932079166517,1,3,2,70.49
2023-06-01,15,0.0,,,,,,,,,,,51.086701100008455,31.38481601814656,0.0,0.0,0.0,0.0,0.0,0.0,52,15,17,30,23.43,0.6096132463321879,2.0492109434459267,10.140542931398045,9.983262967243965,17.63001717346245,1,4,1,69.0
